,State,Job,Companies,Location,Summary,Salary,Links,Post_Date,og_salary_period
1, telangana,data scientist,prolifics,hyderabad  telangana,6 8 years of practical experience with data processing  data mining  statistical analysis and other analytical skills under business environment required ,,/rc/clk?jk=b077ec8c626c5180&fccid=ef1af4ea3ddd67b0&vjs=3,08-28-2022,
3, telangana,machine learning engineer,apple,hyderabad  telangana,apple's is t team looking for a machine learning expert to help us extract the value from our data  responsibilities include data collection  cleaning …,,/rc/clk?jk=9ea62bf211922469&fccid=c1099851e9794854&vjs=3,08-27-2022,
4, maharashtra,nfv data scientist,vodafone,pune  maharashtra,provides deep technical analytical and data expertise to the business   colleagues and other data scientists   solving complex business problems by using…,,/rc/clk?jk=915eb130e61925a0&fccid=374d720d3973ca1c&vjs=3,08-27-2022,
5,india,jr  data scientist,yorshr,india,a data scientist is someone who makes value out of data  exposure to alternate data   bureau data is a big plus  exposure to mongodb is a big plus ,,/rc/clk?jk=0ceaeba9f95ec31f&fccid=aa662164f69e4306&vjs=3,08-27-2022,
6, karnataka,sr applied data scientist,tesco,bengaluru  karnataka,basic statistical concepts   central measures of data linear   logistics regression  support data driven decision making for business functions across tesco and…,,/rc/clk?jk=3cc40c0b7858a5ae&fccid=d0e9d5166a3ee29e&vjs=3,08-27-2022,
7, karnataka,associate data scientist,shell,bengaluru  karnataka,gathers data  analyses and reports findings  gathers data using existing formats and will suggest changes to these formats ,,/rc/clk?jk=4915707ae48537f0&fccid=167aa4ca2fe7d8e6&vjs=3,08-27-2022,
8,karnataka,data scientist intern,aispl   tamil nadu,karnataka,excellent communication and data presentation skills  problem solving ability and passion for big data  familiarity with data processing with python  r   sql ,,/rc/clk?jk=da3f8efa855feb18&fccid=fe2d21eef233e94a&vjs=3,08-27-2022,
9, maharashtra,data scientist   vp,jpmorgan chase bank  n a ,mumbai  maharashtra,he she will be responsible for data wrangling  data analysis  modeling  including model selection and producing quick applicable modeling solutions ,,/rc/clk?jk=857f02e8c7f61376&fccid=aaf3b433897ea465&vjs=3,08-27-2022,
10, karnataka,data scientist   dsc coe,société générale,bengaluru  karnataka,develop  process  cleanse and enhance data collection procedures from multiple data sources  design and implement scalable predictive models  classifiers…,,/rc/clk?jk=78f4709c2607dfd7&fccid=df6948c9b8da6236&vjs=3,08-27-2022,
11, maharashtra,tech consulting  ia data scientist  senior,ey,pune  maharashtra,ability to take initiative with data   you just go get the data you need with no muss fuss and can turn it into a thoughtful story ,,/rc/clk?jk=a423a31356666ad0&fccid=1544766d4c2915b0&vjs=3,08-27-2022,
12, karnataka,lead data scientist,lowe's,bengaluru  karnataka,3 years of experience in data science or advanced analytics in industry  the primary purpose of this role is to provide advanced analytical capabilities to…,,/rc/clk?jk=a501802c81791ec2&fccid=402f23c7b01ca527&vjs=3,08-27-2022,
13, telangana,machine learning engineer,quixy,hyderabad  telangana,understanding of data structures  data modelling and software architecture  verifying data quality  and or ensuring it via data cleaning ,,/rc/clk?jk=23ceed518f1161a2&fccid=29cab5e927ef8fb2&vjs=3,08-27-2022,
14, maharashtra,jr  ml engineer,openspace services,mumbai  maharashtra,understanding of data structures  data modeling and software architecture  study and transform data science prototypes  ability to write robust code in python ,,/rc/clk?jk=020ea9c2ddf5a16e&fccid=f35880d51640f91d&vjs=3,08-27-2022,
15, karnataka,analytics manager   data verification,wells fargo,bengaluru  karnataka,ensure adherence to data management  data governance regulations and policies  participate in data or lob specific projects and work alongside other data ,,/rc/clk?jk=767c201ed1ebae4e&fccid=78bbcd26e39621f5&vjs=3,08-27-2022,
16, karnataka,staff data scientist,sixt,bengaluru  karnataka,you will assist other engineers in designing the right data models  you have experience working with large amounts of real data with sql or nosql ,,/rc/clk?jk=7f964aa7b4b9b01f&fccid=1a70832a7b190a0a&vjs=3,08-27-2022,
17, maharashtra,data science consultant  pune  india ,zs,pune  maharashtra,execute and teach application of statistical and data mining techniques  e g  hypothesis testing  machine learning and retrieval processes  on large …,,/rc/clk?jk=7a9996a7b80dfff1&fccid=f349f6e84d53b739&vjs=3,08-27-2022,
18, maharashtra,deputy manager assistant lead data science gbis pune,vodafone,pune  maharashtra,provides deep technical analytical and data expertise to the business and other data scientists  using a wide variety of available data  to solve complex…,,/rc/clk?jk=7851ef9353db8dd7&fccid=374d720d3973ca1c&vjs=3,08-27-2022,
19, maharashtra,data scientist vp   chief data office india,jpmorgan chase bank  n a ,mumbai  maharashtra,experience with data visualization techniques and software  6 8 years industry experience in data science   applied ml  including model deployment ,,/rc/clk?jk=ad30a4b4a6973dd0&fccid=aaf3b433897ea465&vjs=3,08-27-2022,
20,india,manager bi   analytics,bajaj allianz general insurance company,india,performs end to end predictive modelling for all data points  including vetting the data  identifying outliers  understanding data points which are missing  and…,,/rc/clk?jk=8bc7142826b4c00d&fccid=8d879c4d3e3cadca&vjs=3,08-27-2022,
21, haryana,assistant director   senior data scientist,moody's,gurgaon  haryana,two plus year work experience as a data scientist  customer insights manager  customer data analyst is required ,,/rc/clk?jk=e35436139f8186bc&fccid=28eefc5b86560831&vjs=3,08-27-2022,
22, karnataka,assistant manager senior engineer data science gbis pune,vodafone,bengaluru  karnataka,the big data analytics advisor assists the team in providing business decisions using data science and statistical analysis through the wide ranges of data…,,/rc/clk?jk=03b5e6c9d019cb21&fccid=374d720d3973ca1c&vjs=3,08-27-2022,
23, maharashtra,vp   machine learning model validation   mrgr  mumbai ,jpmorgan chase bank  n a ,mumbai  maharashtra,financial institutions routinely use models for a broad range of activities including analyzing business strategies  identifying and measuring risks  valuing…,,/rc/clk?jk=1fc1659c8e2a35ea&fccid=aaf3b433897ea465&vjs=3,08-27-2022,
24, maharashtra,senior manager project manager data science gbis pune,vodafone,pune  maharashtra,provides deep technical analytical and data expertise to the business and other data scientists  using a wide variety of available data  to solve complex…,,/rc/clk?jk=f8ca83db77f2d83f&fccid=374d720d3973ca1c&vjs=3,08-27-2022,
25, maharashtra,staff engineer   big data,seagate technology,pune  maharashtra,solid technical skills with a proven and successful history working with data at scale and empowering organizations through data ,,/rc/clk?jk=07efbb279dceb317&fccid=eb193642f8c64a12&vjs=3,08-27-2022,
26, telangana,manager   data science,thomson reuters,hyderabad  telangana,provide thought leadership within marketing and across tr on topics including internal processes  technology system rules  analytics  data engineering  data…,,/rc/clk?jk=78fc6e6d8a2e1ffc&fccid=f4c6ed63cbcfdc0d&vjs=3,08-27-2022,
27, karnataka,applied scientist  alexa speech  alexa speech science,adci   karnataka,bengaluru  karnataka,as part of the expansion  the team will be responsible for complex ml technologies such as  i  learning without relying on human transcribed data by leveraging…,,/rc/clk?jk=6d598d59ccb0489a&fccid=fe2d21eef233e94a&vjs=3,08-27-2022,
28, haryana,data science associate consultant  new delhi  india ,zs,gurgaon  haryana,execute statistical and data mining techniques  e g  hypothesis testing  machine learning and retrieval processes  on large data sets to identify trends …,,/rc/clk?jk=57619ca44a2d9e90&fccid=f349f6e84d53b739&vjs=3,08-27-2022,
29, maharashtra,senior director  head of data science  insa,visa,mumbai  maharashtra,lead a team of data scientists to support data science projects for the geo  including project oversight  coaching and professional development ,,/rc/clk?jk=5122a452605cc843&fccid=a3f737e511d9fc8c&vjs=3,08-27-2022,
30, haryana,data science consultant  new delhi  india ,zs associates,gurgaon  haryana,data science consultants  dscs  design  develop and execute high impact analytics solutions for large  complex  structured and unstructured data sets  including…,,/rc/clk?jk=f469591ffe3e5c2f&fccid=f349f6e84d53b739&vjs=3,08-27-2022,
35, maharashtra,machine learning engineer,pressman advertising ltd,mumbai  maharashtra,searching and selecting appropriate data sets before performing data collection and data modeling  verifying data quality and or ensuring it via data cleaning ,,/company/Pressman-Advertising-Ltd/jobs/Machine-Learning-Engineer-78875b918204a133?fccid=7c1b4c92b88b5769&vjs=3,08-27-2022,
41, maharashtra,full stack developer   data analytics  mumbai,morpheus human consulting,mumbai  maharashtra,integrating data from various back end services and databases  we combine data science with pragmatic business experience to develop advanced — yet…,,/company/Morpheus-Human-Consulting/jobs/Full-Stack-Developer-Data-Analytic-c3f5436a01f8df33?fccid=b11361d0457f795a&vjs=3,08-27-2022,
42,remote,remote devops engineer  blockchain and natural language proc   ,turing,remote,analyze data on the platform and compute kubernetes clusters  only candidates with 3  years of overall software development experience are eligible for this…,,/company/Turing/jobs/Devop-Engineer-4ca99adc9162dc70?fccid=9e91ba2e9cfc16b4&vjs=3,08-27-2022,
43, haryana,analyst   data science,american express,gurgaon  haryana,0 4 years experience in analytics or big data workstreams  experience with atleast one of the data manipulation tools such as r  java  sql and sas is a must…,,/rc/clk?jk=e4ba9d51dd2f6c1e&fccid=f057e04c37cca134&vjs=3,08-26-2022,
44, karnataka,data scientist   ai   deep learning for automated driving,bosch,bengaluru  karnataka,3 most importantly   data aptitude  1 looking at the nature of the data  8 define the next set of data or experiments forward ,,/rc/clk?jk=740c9a15f95357d1&fccid=a2faf1301ac6ad4b&vjs=3,08-26-2022,
45, haryana,data   analytics analyst,natwest group,gurgaon  haryana,knowledge of data engineering  data science and decisioning disciplines  strong knowledge of data management principles ,,/rc/clk?jk=6eaba3725e02c411&fccid=4a3a2b1eb3ec0691&vjs=3,08-26-2022,
46, haryana,data   analytics analyst  associate vp,natwest group,gurgaon  haryana,good knowledge of data engineering  data science and decisioning disciplines  along with advanced analytics knowledge  you’ll bring an ability to simplify data…,,/rc/clk?jk=61af061db9e43f09&fccid=4a3a2b1eb3ec0691&vjs=3,08-26-2022,
47, kerala,manager   data scientist,ey,thiruvananthapuram  kerala,mentor and manage junior data scientists  the candidate must have a total of above 8 years of experience with minimum 5 years of solid experience as a data…,,/rc/clk?jk=14e36266ed69c767&fccid=1544766d4c2915b0&vjs=3,08-26-2022,
48, gujarat,data scientist,protocolzone,ahmedabad  gujarat,experience in using any of the deep learning frameworks   tensorflow  keras  and pytorch etc  in a professional environment ,,/rc/clk?jk=d0da0a9baa26867b&fccid=9d7b4398dcef461f&vjs=3,08-26-2022,
49, telangana,data scientist,genzeon,hyderabad  telangana,study and transform data science prototypes  understanding of nlp techniques for text representation  semantic extraction techniques  data structures and…,,/rc/clk?jk=5ec0593dd1ca419a&fccid=427ea99184cf7715&vjs=3,08-26-2022,
50, haryana,data   analytics manager  vp,natwest group,gurgaon  haryana,excellent knowledge of data engineering  data science and decisioning disciplines  you’ll also know how to simplify data into clear data visualisations by using…,,/rc/clk?jk=8bfe4cbe979acc9a&fccid=4a3a2b1eb3ec0691&vjs=3,08-26-2022,
51, telangana,data science analyst expert   associate,jpmorgan chase bank  n a ,hyderabad  telangana,experience in python  sql  and big data cloud  aws  environments  within our data consumption sourcing and product team  our data science analyst experts team…,,/rc/clk?jk=9ccc9e098d52f8bd&fccid=aaf3b433897ea465&vjs=3,08-26-2022,
52, karnataka,data engineer specialist,siemens healthineers,bengaluru  karnataka,expert knowledge and multi year  4   experience on data transformation  data bases  data governance and data quality management  full   part time: full time ,,/rc/clk?jk=76a78d4dc39fa551&fccid=c5679bf29a1db253&vjs=3,08-26-2022,
53, maharashtra,senior data scientist,snowflake,pune  maharashtra,analyze large amounts of messy data  work on data quality  uncover actionable insights and present them in a compelling manner ,,/rc/clk?jk=8059c007ec60eaf8&fccid=fbedd6450a2f872c&vjs=3,08-26-2022,
54, telangana,product data scientist,waymo,hyderabad  telangana,demonstrated ability to extract actionable insights from data  expertise using sql to extract  clean  and transform data in large  complex  nested  databases ,,/rc/clk?jk=6f2d5e1da890a660&fccid=73ceef0a2153d2b8&vjs=3,08-26-2022,
55, karnataka,data scientist iii,groupon,bengaluru  karnataka,develop algorithms  data pipelines  and automated processes to create a data science backed solution that meets a business need for improving our customer or…,,/rc/clk?jk=e6dc086c087be0e8&fccid=863ad2cc91c92c82&vjs=3,08-26-2022,
56, kerala,tech consulting  ia data scientist  manager,ey,kochi  kerala,communicate with internal stakeholders to make recommendations based on data  experience in data processing with python  r   sql  run scrum calls for team ,,/rc/clk?jk=4d54c977662e40ac&fccid=1544766d4c2915b0&vjs=3,08-26-2022,
57, maharashtra,customer segmentation analytics associate,jpmorgan chase bank  n a ,mumbai  maharashtra,become a trusted partner and thought leader on customer data and data science   analytics techniques  build expertise on customer data from all chase lines of…,,/rc/clk?jk=7cef851097e893a8&fccid=aaf3b433897ea465&vjs=3,08-26-2022,
58, karnataka,data scientist  sr,lam research,bengaluru  karnataka,effectively analyze the source data and write sql scripts to integrate data from multiple data sources  understanding with data analysis  data mapping  data…,,/rc/clk?jk=918cc90147c5eca5&fccid=fb90332c857e2826&vjs=3,08-26-2022,
59, maharashtra,risk analytics  risk management ,morgan stanley,mumbai  maharashtra,the market risk analytics group develops  maintains and monitors the performance of market risk  var  stressed var  irc and crm  and stress testing models for…,,/rc/clk?jk=39286ae854cb93fd&fccid=0c39fb2c91742dcf&vjs=3,08-26-2022,
60, karnataka,mindshare | director   data science   analytics,mindshare,bengaluru  karnataka,supervise  train and mentor experienced and junior data scientists  knowledge of visual techniques for data analysis and presentation ,,/rc/clk?jk=1c71e825846350bb&fccid=7c09b9795120f0d4&vjs=3,08-26-2022,
61, maharashtra,senior data scientist,tata nexarc,mumbai  maharashtra,for msmes  analyzing large sets of data to derive insights for co creating quant  accordingly  within nexarc  one of the key verticals is financial services  …,,/rc/clk?jk=d5d63878476d059a&fccid=dd616958bd9ddc12&vjs=3,08-26-2022,
62, delhi,application developer for advance analytics,ibm,new delhi  delhi,candidate should have experience with big data  hadoop  spark  scala python  and hive  experience of min 3yrs  come to ibm and make a global impact ,,/rc/clk?jk=c6767320d4412e72&fccid=de71a49b535e21cb&vjs=3,08-26-2022,
63, karnataka,data science engineer,silverpeople,bengaluru  karnataka,build a scalable  reliable  operable and performant data analytics platform for 56’s engineers  data scientists  products and operations teams ,,/rc/clk?jk=483b6d96ac324193&fccid=bfeeb443501e2c91&vjs=3,08-26-2022,
64, west bengal,ey   gds consulting   data scientist   manager,ey,kolkata  west bengal,enabled by data and technology  diverse ey teams in over 150 countries provide trust through assurance and help clients grow  transform and operate ,,/rc/clk?jk=1ebec77981c2752b&fccid=1544766d4c2915b0&vjs=3,08-26-2022,
65, kerala,commercial analytics   bsd,ey,thiruvananthapuram  kerala,engagement delivery with global teams around data and analytics strategies such as assessing data and analytics maturity  governance  etc ,,/rc/clk?jk=9315da26fdba8628&fccid=1544766d4c2915b0&vjs=3,08-26-2022,
66, telangana,data scientist  zelm,genzeon,hyderabad  telangana,experience using statistical computer languages  r  python  sql  etc   to manipulate data and draw insights from large data sets ,,/rc/clk?jk=826906adcd546a2d&fccid=427ea99184cf7715&vjs=3,08-26-2022,
67, karnataka,applied scientist iii  sr  applied scientist  mars,adci   karnataka,bengaluru  karnataka,strong communication and data presentation skills  mentor other applied scientist in the team  you will collaborate with engineers and other scientists to build…,,/rc/clk?jk=4a2c779ac975745e&fccid=fe2d21eef233e94a&vjs=3,08-26-2022,
68,telangana,analytics associate manager,wells fargo bank,telangana,ensure adherence to data management  data governance regulations and policies  ensures adherence to data management data governance regulations and policies ,,/rc/clk?jk=383b88b01f97bf7b&fccid=78bbcd26e39621f5&vjs=3,08-26-2022,
69, tamil nadu,data scientist,shell,chennai  tamil nadu,this policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to royal dutch…,,/rc/clk?jk=a0b0a399196572f8&fccid=167aa4ca2fe7d8e6&vjs=3,08-26-2022,
71, uttar pradesh,senior manager   data scientist   ldt,genpact,noida  uttar pradesh,develop custom data models and algorithms to apply to data sets  assess the efficiency and accuracy of new data sources and data gathering techniques ,,/rc/clk?jk=6ee85efeb562809f&fccid=afe30394bfba1470&vjs=3,08-26-2022,
72, karnataka,quantitative analytic manager   nlp,wells fargo,bengaluru  karnataka,person would be required to manage team of at least 7 data scientists on various data science projects and work closely with business partners across the…,,/rc/clk?jk=af76e8aba5163f44&fccid=78bbcd26e39621f5&vjs=3,08-26-2022,
73, telangana,dg assistant manager data scientist,genpact,hyderabad  telangana,automate data preparation via data pipelines and insights report creation where possible  ability to handle various data sources  format   structured and…,,/rc/clk?jk=602c162a462cadaf&fccid=afe30394bfba1470&vjs=3,08-26-2022,
74, haryana,manager   ml engineer,genpact,gurgaon  haryana,develop custom data models and algorithms to apply to data sets  assess the efficiency and accuracy of new data sources and data gathering techniques ,,/rc/clk?jk=d6e6c8381004bf96&fccid=afe30394bfba1470&vjs=3,08-26-2022,
75, tamil nadu,ai ml lead,vega intellisoft,chennai  tamil nadu,identifying opportunities to apply the latest advancements in machine learning and artificial intelligence to build  test  and validate predictive models…,,/rc/clk?jk=7c08f2fdd63465da&fccid=c52e3ab6ec07c100&vjs=3,08-26-2022,
76, telangana,nlp engineer,genzeon,hyderabad  telangana,extensive knowledge of data structures  data modeling  and software architecture  good data storytelling and communication skills  exp  2 to 5 yrs ,,/rc/clk?jk=55f3a8ef2a9d32e1&fccid=427ea99184cf7715&vjs=3,08-26-2022,
77,telangana,senior analytics consultant,wells fargo,telangana,advanced experience with data management including data modeling  data integrity and data quality  experience in data processing  database programming  and or…,,/rc/clk?jk=4640cacf3ee63d65&fccid=78bbcd26e39621f5&vjs=3,08-26-2022,
78, uttar pradesh,senior manager  advanced analytics,adobe,noida  uttar pradesh,define  build  and lead a team of data scientists  this role will manage a team of data scientist that will provide analytics and business consulting support on…,,/rc/clk?jk=93ead97df6923c43&fccid=f89deb5a97c7738a&vjs=3,08-26-2022,
81, delhi,data scientist,nao medical,remote in new delhi  delhi,support with data analysis and data preparation  intern or work experience with predictive analytics  pattern recognition  or data mining data analysis…,,/rc/clk?jk=56c808776a6c49db&fccid=fe7cf5fbaf487d80&vjs=3,08-26-2022,
83, kerala,machine learning engineer,compugence,ernakulam  kerala,candidate should be experienced in tensor flow  ssd  python  aws rekognition based platforms  prior experience in working on image processing from live video…,,/company/CompuGence/jobs/Machine-Learning-Engineer-580c49742b84fb23?fccid=90a5c30d02597e4d&vjs=3,08-26-2022,
84, kerala,data science internship,oracuz infotech,thiruvananthapuram  kerala,view all oracuz infotech jobs   thiruvananthapuram jobs salary search: data science internship salaries in thiruvananthapuram  kerala,,/company/Oracuz-InfoTech/jobs/Data-Science-Internship-6057e7a3ad3d0a9d?fccid=bdd219ff201196af&vjs=3,08-28-2022,
87, karnataka,ai ml architect,kaleyra,bengaluru  karnataka,identifies gaps  inefficiencies and potential risks in existing data management processes  participates in designing blueprints on how to structure  store and…,,/rc/clk?jk=e8f35e8502c90ea5&fccid=3519e1f22044b98a&vjs=3,08-26-2022,
88, karnataka,sr machine learning engineer,alphanet solution,bengaluru  karnataka,streamlining data processing pipeline with airflow  snowflake  aws s3   etc  comfortable programming  very comfortable debugging model  analytics  data…,,/company/Alphanet-Solution/jobs/Senior-Machine-Learning-Engineer-31aa8ffde5c14df5?fccid=84305eae22afbe63&vjs=3,08-26-2022,
89, telangana,junior data scientist,risk edge solutions,hyderabad  telangana,processing  cleansing  and verifying the integrity of data used for analysis  experience with data visualization tools  such as d3 js  ggplot  etc ,,/rc/clk?jk=29a02415660bab40&fccid=ff9e5682589566a1&vjs=3,08-25-2022,
90, karnataka,data scientist,navikenz,bengaluru  karnataka,assess the effectiveness of data sources and data gathering techniques and improve data collection methods  work closely with navikenz clients to identify areas…,,/rc/clk?jk=e20065999ca5a89a&fccid=dd616958bd9ddc12&vjs=3,08-25-2022,
91,remote,marketing data scientist,censius,remote,the role of the marketing data scientist is primarily to act as a liaison between a developer centric audience and our business ,,/rc/clk?jk=dc9a7718305fb6d9&fccid=ddc95af0a55efc64&vjs=3,08-25-2022,
