,State,Job,Companies,Location,Summary,Salary,Links,Post_Date
0, Telangana,Computer Faculty - Full Stack Web Development|Cloud & DevOps...,Veranda Acacia Kukatpally,"Hyderabad, Telangana",Outstanding faculty are able to teach and foster relationships with students from different cultural and economic backgrounds. Total work: 1 year (Preferred).,"₹15,000 - ₹20,000 a month",/company/Veranda-Acacia-Kukatpally/jobs/Computer-Faculty-d76437df4ed48513?fccid=ac15a8459a345add&vjs=3,08-28-2022
1, Telangana,Data Scientist,Prolifics,"Hyderabad, Telangana","6-8 years of practical experience with data processing, data mining, statistical analysis and other analytical skills under business environment required.",No Salary,/rc/clk?jk=b077ec8c626c5180&fccid=ef1af4ea3ddd67b0&vjs=3,08-28-2022
2, Karnataka,AI ML / Data Science Engineer -Data Scientist -Senior-Junior...,Predictive Research Inc,"Bengaluru, Karnataka","Extensive knowledge of ML frameworks, libraries, data structures, data modeling, and SQL scripting. Conduct exploratory analysis and ensure data adequacy.","₹2,00,000 - ₹10,00,000 a year",/company/Predictive-Research-Inc/jobs/Ai-Ml-6efde6940984aee8?fccid=dd616958bd9ddc12&vjs=3,08-28-2022
3, Telangana,Machine Learning Engineer,Apple,"Hyderabad, Telangana","Apple's IS&T team looking for a machine learning expert to help us extract the value from our data. Responsibilities include data collection, cleaning,…",No Salary,/rc/clk?jk=9ea62bf211922469&fccid=c1099851e9794854&vjs=3,08-27-2022
4, Maharashtra,NFV Data Scientist,Vodafone,"Pune, Maharashtra",Provides deep technical analytical and data expertise to the business - colleagues and other data scientists - solving complex business problems by using…,No Salary,/rc/clk?jk=915eb130e61925a0&fccid=374d720d3973ca1c&vjs=3,08-27-2022
5, Maharashtra,NFV Data Scientist,Vodafone,"Pune, Maharashtra",Provides deep technical analytical and data expertise to the business - colleagues and other data scientists - solving complex business problems by using…,No Salary,/rc/clk?jk=915eb130e61925a0&fccid=374d720d3973ca1c&vjs=3,08-27-2022
6,India,Jr. Data Scientist,Yorshr,India,A data scientist is someone who makes value out of data. Exposure to Alternate data & Bureau data is a big plus. Exposure to MongoDB is a big plus.,No Salary,/rc/clk?jk=0ceaeba9f95ec31f&fccid=aa662164f69e4306&vjs=3,08-27-2022
7, Karnataka,Sr Applied Data Scientist,Tesco,"Bengaluru, Karnataka",Basic Statistical Concepts - Central Measures of data Linear & Logistics regression. Support data driven decision making for business functions across Tesco and…,No Salary,/rc/clk?jk=3cc40c0b7858a5ae&fccid=d0e9d5166a3ee29e&vjs=3,08-27-2022
8, Karnataka+1 location,Associate Data Scientist,Shell,"Bengaluru, Karnataka+1 location","Gathers data, analyses and reports findings. Gathers data using existing formats and will suggest changes to these formats.",No Salary,/rc/clk?jk=4915707ae48537f0&fccid=167aa4ca2fe7d8e6&vjs=3,08-27-2022
9,Karnataka,Data Scientist Intern,AISPL - Tamil Nadu,Karnataka,"Excellent communication and data presentation skills. Problem solving ability and passion for big data. Familiarity with data processing with Python, R & SQL.",No Salary,/rc/clk?jk=da3f8efa855feb18&fccid=fe2d21eef233e94a&vjs=3,08-27-2022
10, Maharashtra,Data Scientist - VP,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra","He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions.",No Salary,/rc/clk?jk=857f02e8c7f61376&fccid=aaf3b433897ea465&vjs=3,08-27-2022
11, Maharashtra,Data Scientist - VP,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra","He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions.",No Salary,/rc/clk?jk=857f02e8c7f61376&fccid=aaf3b433897ea465&vjs=3,08-27-2022
12, Karnataka+1 location,Data Scientist - DSC COE,Société Générale,"Bengaluru, Karnataka+1 location","Develop, process, cleanse and enhance data collection procedures from multiple data sources. Design and implement scalable predictive models, classifiers…",No Salary,/rc/clk?jk=78f4709c2607dfd7&fccid=df6948c9b8da6236&vjs=3,08-27-2022
13, Maharashtra+2 locations,Tech Consulting- IA-Data Scientist- Senior,EY,"Pune, Maharashtra+2 locations",Ability to take initiative with data - you just go get the data you need with no muss/fuss and can turn it into a thoughtful story.,No Salary,/rc/clk?jk=a423a31356666ad0&fccid=1544766d4c2915b0&vjs=3,08-27-2022
14, Karnataka,Lead Data Scientist,Lowe's,"Bengaluru, Karnataka",3 years of experience in data science or advanced analytics in industry. The primary purpose of this role is to provide advanced analytical capabilities to…,No Salary,/rc/clk?jk=a501802c81791ec2&fccid=402f23c7b01ca527&vjs=3,08-27-2022
15, Telangana,Machine Learning Engineer,quixy,"Hyderabad, Telangana","Understanding of data structures, data modelling and software architecture. Verifying data quality, and/or ensuring it via data cleaning.",No Salary,/rc/clk?jk=23ceed518f1161a2&fccid=29cab5e927ef8fb2&vjs=3,08-27-2022
16, Maharashtra,Jr. ML Engineer,Openspace Services,"Mumbai, Maharashtra","Understanding of data structures, data modeling and software architecture. Study and transform data science prototypes. Ability to write robust code in Python.",No Salary,/rc/clk?jk=020ea9c2ddf5a16e&fccid=f35880d51640f91d&vjs=3,08-27-2022
17, Maharashtra,Jr. ML Engineer,Openspace Services,"Mumbai, Maharashtra","Understanding of data structures, data modeling and software architecture. Study and transform data science prototypes. Ability to write robust code in Python.",No Salary,/rc/clk?jk=020ea9c2ddf5a16e&fccid=f35880d51640f91d&vjs=3,08-27-2022
18, Karnataka,Analytics Manager - Data Verification,Wells Fargo,"Bengaluru, Karnataka",Ensure adherence to data management/ data governance regulations and policies. Participate in data or LOB specific projects and work alongside other data.,No Salary,/rc/clk?jk=767c201ed1ebae4e&fccid=78bbcd26e39621f5&vjs=3,08-27-2022
19, Karnataka,Staff Data Scientist,SIXT,"Bengaluru, Karnataka",You will assist other engineers in designing the right data models. You have experience working with large amounts of real data with SQL or NoSQL.,No Salary,/rc/clk?jk=7f964aa7b4b9b01f&fccid=1a70832a7b190a0a&vjs=3,08-27-2022
20, Maharashtra+1 location,"Data Science Consultant (Pune, India)",ZS,"Pune, Maharashtra+1 location","Execute and teach application of statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large,…",No Salary,/rc/clk?jk=7a9996a7b80dfff1&fccid=f349f6e84d53b739&vjs=3,08-27-2022
21, Maharashtra,Deputy Manager_Assistant Lead_Data Science_GBIS-PUNE,Vodafone,"Pune, Maharashtra","Provides deep technical analytical and data expertise to the business and other Data Scientists, using a wide variety of available data, to solve complex…",No Salary,/rc/clk?jk=7851ef9353db8dd7&fccid=374d720d3973ca1c&vjs=3,08-27-2022
22, Maharashtra,Data Scientist VP - Chief Data Office India,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Experience with data visualization techniques and software. 6-8 years industry experience in data science / applied ML; including model deployment.,No Salary,/rc/clk?jk=ad30a4b4a6973dd0&fccid=aaf3b433897ea465&vjs=3,08-27-2022
23, Maharashtra,Data Scientist VP - Chief Data Office India,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Experience with data visualization techniques and software. 6-8 years industry experience in data science / applied ML; including model deployment.,No Salary,/rc/clk?jk=ad30a4b4a6973dd0&fccid=aaf3b433897ea465&vjs=3,08-27-2022
24,India,Manager BI & Analytics,Bajaj Allianz General Insurance Company,India,"Performs end to end predictive modelling for all data points, including vetting the data, identifying outliers, understanding data points which are missing, and…",No Salary,/rc/clk?jk=8bc7142826b4c00d&fccid=8d879c4d3e3cadca&vjs=3,08-27-2022
25, Haryana,Assistant Director – Senior Data Scientist,Moody's,"Gurgaon, Haryana","Two plus year work experience as a data scientist, customer insights manager, customer data analyst is required.",No Salary,/rc/clk?jk=e35436139f8186bc&fccid=28eefc5b86560831&vjs=3,08-27-2022
26, Karnataka,Assistant Manager_Senior Engineer_Data Science-GBIS_Pune,Vodafone,"Bengaluru, Karnataka",The Big Data Analytics Advisor assists the team in providing business decisions using data science and statistical analysis through the wide ranges of data…,No Salary,/rc/clk?jk=03b5e6c9d019cb21&fccid=374d720d3973ca1c&vjs=3,08-27-2022
27, Maharashtra,VP - Machine Learning Model Validation - MRGR (Mumbai),"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra","Financial Institutions routinely use models for a broad range of activities including analyzing business strategies, identifying and measuring risks, valuing…",No Salary,/rc/clk?jk=1fc1659c8e2a35ea&fccid=aaf3b433897ea465&vjs=3,08-27-2022
28, Maharashtra,Senior manager_Project Manager_Data Science-GBIS_Pune,Vodafone,"Pune, Maharashtra","Provides deep technical analytical and data expertise to the business and other Data Scientists, using a wide variety of available data, to solve complex…",No Salary,/rc/clk?jk=f8ca83db77f2d83f&fccid=374d720d3973ca1c&vjs=3,08-27-2022
